Date,Category,Amount,Description
2025-01-02,Food,1200,Groceries from supermarket
2025-01-05,Transport,350,Uber ride to office
2025-01-07,Rent,15000,Monthly apartment rent
2025-01-09,Entertainment,500,Movie tickets
2025-01-12,Shopping,2200,Clothes purchase
2025-01-14,Food,800,Restaurant dinner
2025-01-17,Subscriptions,499,Netflix monthly plan
2025-01-20,Health,1500,Doctor consultation
2025-01-21,Travel,5000,Flight to Mumbai
2025-01-22,Food,600,Lunch at cafe
2025-01-25,Shopping,3200,Electronics purchase
2025-01-27,Transport,200,Metro recharge
2025-01-28,Entertainment,1200,Concert tickets
2025-01-29,Travel,7000,Hotel stay in Mumbai
2025-01-30,Subscriptions,299,Music streaming app
